-0.096,0.315
-0.423,0.94
-0.285,0.53
-0.313,0.452
-0.401,0.412
-1.073,0.848
-1.591,1.236
-0.407,0.242
-0.285,-0.59
-0.169,-0.287
-0.147,-0.097
-3.485,-0.422
-0.316,0.138
-0.988,0.042
-0.851,-0.17
-3.015,-1.216
-1.628,-0.749
-0.116,-0.286
-0.661,-0.804
-0.719,-0.72
-4.99,-2.412
-3.252,-0.93
-1.349,-0.116
-0.979,-0.465
-4.905,-0.74
-3.421,0.783
-0.296,0.073
-1.945,0.095
-3.876,-0.222
-2.892,-1.102
-4.469,-2.746
-0.914,-0.604
-1.399,-1.194
98.741,606
0.012,-0.793
0.189,-1.237
-0.189,-1.416
-3.198,-1.617
-2.369,0.414
-1.998,0.356
-1.089,0.285
-0.036,0.506
0.059,0.286
0.188,0.287
-0.978,0.011
-0.265,-0.213
-0.157,-0.221
-1.799,-2.592
-0.894,-1.205
-1.021,-3.045
0.032,-0.592
0.01,-0.157
1,-1.322
2.859,-1.935
1.379,-0.688
0.604,-0.266
0.375,-0.433
0.581,-0.846
0.533,-2.285
-0.545,-0.485
-0.021,-0.095
0.714,-4.346
0.604,-0.435
-0.444,-0.38
-1.242,0.561
-0.724,0.188
-5.022,-2.876
0.021,-0.37
0.274,-1.479
-0.104,-0.832
-2.519,-1.685
-0.147,-0.391
-0.181,-0.993
-0.02,-0.148
0.38,-0.273
1.665,-0.509
0.481,-5.224
-0.129,-4.407
-0.063,-0.835
-0.021,-0.202
-0.461,-1.017
-0.358,-0.729
-0.181,-0.306
-0.428,0.422
-1.108,0.581
-0.811,0.276
-0.757,-0.148
-6.105,-3.289
-3.294,-2.992
-2.634,-1.713
-0.549,0.624
-0.535,0.456
-1.644,0.633
-0.147,0.044
-0.011,-0.191
0.169,-0.698
0.074,-0.308
-0.946,-0.18
-1.988,-0.252
-0.369,0.137
-3.052,1.787
-0.127,0.104
-0.053,0.065
0.011,0.083
-0.434,0.000
-1.902,0.738
-3.023,1.219
-0.767,0.357
-0.275,0.191
-0.564,0.612
-0.213,0.351
-0.528,0.537
-0.18,0.127
-1.342,0.772
-0.615,0.336
-4.271,1.238
-7.084,1.247
-4.351,-0.295
-1.327,-0.157
-7.042,-2.201
-0.479,-0.283
-1.401,-2.18
0.000,-0.116
0.084,-0.168
1.349,-1.957
0.429,-0.453
0.223,-0.116
0.508,-0.021
0.274,-0.127
0.248,-0.255
1.212,-1.279
5.818,-9.419
1.497,-5.128
-0.021,-0.646
-0.577,-4.217
-1.982,-1.313
-1.469,0.94
-1.466,0.021
-0.137,-0.032
-1.804,-1.046
-0.237,-0.223
-3.1,-3.076
-5.608,-3.428
-1.781,-2.071
-3.347,-5.571
-0.43,-0.961
-0.337,-0.771
-1.18,-2.918
-1.519,-6.079
0.317,-3.005
2.009,-7.166
2.463,-2.071
-0.315,-4.23
0.18,-1.332
0.011,-0.097
0.158,-0.221
7.455,-4.8
0.359,-0.91
1.188,-2.525
0.438,-0.158
0.957,-0.244
28.488,482
2.828,-0.731
1.443,0.106
-0.708,-1.078
-0.46,-0.813
-0.189,-0.529
-0.715,-2.663
-0.326,-1.333
1.882,-0.445
2.161,1.938
0.079,0.082
0.721,1.061
4.831,-0.74
4.674,-1.598
1.285,1.364
0.138,0.2
3.827,1.586
3.173,0.878
3.007,-0.93
0.762,0.136
0.556,0.127
-0.903,-1.544
-0.957,-1.775
-0.116,-5.973
3.24,-2.084
0.37,0.274
2.4,1.606
0.682,-0.211
2.401,-1.099
1.87,-7.751
0.232,-1.354
2.168,0.338
0.708,0.053
1.714,-0.834
0.189,-0.139
1.084,-1.122
0.878,-1.098
2.595,-0.436
5.266,-1.192
1.646,-0.456
1.01,-1.015
0.073,-0.084
0.365,-1.449
0.104,-0.476
0.276,-0.582
0.263,-0.127
0.492,0.021
0.063,0.273
0.000,0.456
-0.063,1.563
-0.032,0.403
2.962,0.021
1.602,-0.35
0.819,-0.242
2.775,-0.856
1.349,-0.721
0.189,-0.337
0.519,-2.104
0.021,-1.576
-0.086,-1.469
0.472,-1.007
0.486,-0.485
1.935,-0.063
2.078,0.688
0.26,-0.233
0.889,-0.4
13.104,-4.664
0.461,-0.412
1.071,-1.375
0.351,-0.854
-0.171,-1.588
-0.285,-0.315
-0.966,-0.813
0.645,0.148
0.321,0.000
1.562,-0.582
0.116,-0.043
2.39,-2.146
1.253,-1.797
-0.561,-4.97
0.454,-0.55
2.4,-2.073
0.443,-0.231
1.29,0.253
2.343,1.671
-0.498,0.75
-0.434,0.869
-0.543,1.553
-0.087,0.393
-0.011,0.287
0.075,0.473
2.305,0.604
1.115,0.286
4.928,2.792
0.254,0.22
0.26,0.297
0.549,1.396
-0.011,0.562
-0.231,2.113
-0.075,0.202
-0.368,0.382
-0.054,0.652
-0.068,0.921
0.205,0.951
0.285,0.465
0.614,0.763
0.27,0.298
1.466,1.425
1.452,1.547
0.401,0.434
0.133,1.563
-0.301,1.511
2.648,-0.921
1.272,0.341
0.688,0.624
