1 40; Linie: 0.726 40.224
1 32; Linie: 0.8 32.488
1 83; Linie: 0.716 83.416
1 33; Linie: 0.124 32.187
1 96; Linie: 0.348 95.944
1 38; Linie: 0.425 38.131
1 84; Linie: 0.819 83.539
1 90; Linie: 0.511 90.296
1 92; Linie: 0.563 91.862
1 90; Linie: 0.792 90.427
1 8; Linie: 0.816 7.664
1 18; Linie: 0.434 17.664
1 83; Linie: 0.819 83.539
1 40; Linie: 0.831 40.434
1 47; Linie: 0.625 46.456
1 92; Linie: 0.551 92.882
1 11; Linie: 0.358 10.846
1 88; Linie: 0.545 88.407
1 40; Linie: 0.328 40.207
1 97; Linie: 0.722 96.779
1 87; Linie: 0.379 87.496
1 88; Linie: 0.825 88.442
1 6; Linie: 0.548 6.225
1 28; Linie: 0.198 27.507
1 68; Linie: 0.516 68.227
1 77; Linie: 0.646 76.783
1 67; Linie: 0.14 67.524
1 83; Linie: 0.716 83.416
1 27; Linie: 0.818 27.066
1 1; Linie: 0.175 0.959
1 25; Linie: 0.287 24.25
1 27; Linie: 0.142 26.834
1 41; Linie: 0.785 41.011
1 24; Linie: 0.781 23.372
1 83; Linie: 0.819 83.539
1 15; Linie: 0.56 14.441
1 90; Linie: 0.848 90.381
1 90; Linie: 0.848 90.381
1 23; Linie: 0.819 23.244
1 14; Linie: 0.717 13.499
1 88; Linie: 0.588 88.505
1 8; Linie: 0.816 7.664
1 23; Linie: 0.837 23.12
1 27; Linie: 0.702 26.701
1 90; Linie: 0.511 90.296
1 34; Linie: 0.661 33.891
1 90; Linie: 0.848 90.381
1 42; Linie: 0.578 41.239
1 24; Linie: 0.79 23.603
1 18; Linie: 0.361 17.513
1 39; Linie: 0.651 39.203
1 16; Linie: 0.45 15.815
1 10; Linie: 0.42 9.626
1 44; Linie: 0.868 43.699
1 12; Linie: 0.047 11.076
1 8; Linie: 0.816 7.664
1 68; Linie: 0.55 68.604
1 100; Linie: 0.714 99.755
1 58; Linie: 0.797 58.319
1 63; Linie: 0.291 63.405
1 90; Linie: 0.618 89.902
1 10; Linie: 0.541 9.773
1 90; Linie: 0.848 90.381
1 96; Linie: 0.348 95.944
1 44; Linie: 0.868 43.699
1 32; Linie: 0.848 32.452
1 65; Linie: 0.717 64.892
1 5; Linie: 0.417 4.298
1 99; Linie: 0.835 99.086
1 61; Linie: 0.762 61.055
1 12; Linie: 0.692 12.251
1 99; Linie: 0.835 99.086
1 27; Linie: 0.818 27.066
1 23; Linie: 0.819 23.244
1 86; Linie: 0.649 85.707
1 28; Linie: 0.712 27.652
1 99; Linie: 0.849 99.062
1 1; Linie: 0.743 0.842
1 96; Linie: 0.511 97.034
1 92; Linie: 0.32 93.099
1 38; Linie: 0.59 37.835
1 44; Linie: 0.868 43.699
1 84; Linie: 0.621 83.863
1 5; Linie: 0.869 5.057
1 32; Linie: 0.848 32.452
1 19; Linie: 0.833 19.28
1 96; Linie: 0.688 96.01
1 27; Linie: 0.275 26.066
1 61; Linie: 0.72 61.184
1 32; Linie: 0.809 32.437
1 40; Linie: 0.831 40.434
1 99; Linie: 0.845 99.104
1 33; Linie: 0.589 32.498
1 10; Linie: 0.541 9.773
1 65; Linie: 0.38 65.353
1 77; Linie: 0.548 77.609
1 94; Linie: 0.629 95.017
1 47; Linie: 0.193 46.942
1 45; Linie: 0.571 45.601
1 30; Linie: 0.772 30.318
1 24; Linie: 0.781 23.372
1 61; Linie: 0.72 61.184
1 73; Linie: 0.367 72.953
1 98; Linie: 0.878 97.823
1 45; Linie: 0.234 45.375
1 26; Linie: 0.185 25.217
1 42; Linie: 0.695 42.46
1 39; Linie: 0.912 39.174
1 64; Linie: 0.85 64.493
1 67; Linie: 0.575 67.172
1 96; Linie: 0.688 96.01
1 88; Linie: 0.814 88.175
1 67; Linie: 0.651 67.247
1 44; Linie: 0.785 43.538
1 50; Linie: 0.536 49.92
1 41; Linie: 0.854 40.96
1 97; Linie: 0.768 96.925
1 88; Linie: 0.686 88.103
1 30; Linie: 0.584 29.82
1 86; Linie: 0.514 85.844
1 56; Linie: 0.449 56.741
1 9; Linie: 0.407 8.157
1 28; Linie: 0.194 28.511
1 1; Linie: 0.192 0.961
1 59; Linie: 0.631 59.303
1 27; Linie: 0.927 26.686
1 97; Linie: 0.42 96.736
1 27; Linie: 0.142 26.834
1 1; Linie: 0.798 1.314
1 87; Linie: 0.077 87.494
1 59; Linie: 0.895 58.621
1 24; Linie: 0.781 23.372
1 81; Linie: 0.878 80.987
1 15; Linie: 0.567 13.851
1 94; Linie: 0.796 93.966
1 15; Linie: 0.918 14.707
1 33; Linie: 0.709 33.059
1 27; Linie: 0.528 26.59
1 97; Linie: 0.768 96.925
1 41; Linie: 0.854 40.96
1 96; Linie: 0.84 95.83
1 27; Linie: 0.142 26.834
1 27; Linie: 0.55 26.879
1 15; Linie: 0.918 14.707
1 48; Linie: 0.936 47.869
1 27; Linie: 0.754 26.877
1 61; Linie: 0.857 61.315
1 99; Linie: 0.635 99.385
1 97; Linie: 0.722 96.779
1 27; Linie: 0.818 27.066
1 63; Linie: 0.833 63.216
1 29; Linie: 0.793 28.895
1 7; Linie: 0.79 6.969
1 27; Linie: 0.779 26.941
1 4; Linie: 0.927 4.06
1 19; Linie: 0.713 18.795
1 97; Linie: 0.691 96.594
1 90; Linie: 0.63 90.287
1 27; Linie: 0.142 26.834
1 99; Linie: 0.635 99.385
1 60; Linie: 0.933 59.852
1 27; Linie: 0.749 27.175
1 61; Linie: 0.743 61.402
1 10; Linie: 0.42 9.626
1 84; Linie: 0.621 83.863
1 60; Linie: 0.933 59.852
1 27; Linie: 0.841 26.327
1 88; Linie: 0.686 88.103
1 4; Linie: 0.836 4.334
1 13; Linie: 0.574 11.805
1 99; Linie: 0.918 99.504
1 27; Linie: 0.881 27.174
1 54; Linie: 0.832 54.192
1 93; Linie: 0.301 92.88
1 32; Linie: 0.1 31.954
1 23; Linie: 0.835 22.893
1 27; Linie: 0.818 27.066
1 10; Linie: 0.562 9.598
1 3; Linie: 0.968 2.977
1 13; Linie: 0.574 11.805
1 31; Linie: 0.582 30.773
1 9; Linie: 0.827 8.611
1 55; Linie: 0.871 54.613
1 80; Linie: 0.059 79.405
1 84; Linie: 0.621 83.863
1 90; Linie: 0.928 89.902
1 97; Linie: 0.691 96.594
1 94; Linie: 0.807 94.421
1 11; Linie: 0.358 10.846
1 44; Linie: 0.968 44.242
1 60; Linie: 0.903 59.793
1 27; Linie: 0.528 26.59
1 60; Linie: 0.165 59.644
1 98; Linie: 0.898 97.612
1 82; Linie: 0.446 81.611
1 45; Linie: 0.638 45.349
1 41; Linie: 0.975 40.681
1 68; Linie: 0.828 67.548
1 45; Linie: 0.981 45.408
1 59; Linie: 0.981 58.919
1 54; Linie: 0.879 53.733
1 10; Linie: 0.038 9.049
1 46; Linie: 0.964 46.165
1 53; Linie: 0.429 52.527
1 65; Linie: 0.912 64.846
1 96; Linie: 0.938 95.848
1 97; Linie: 0.722 96.779
1 69; Linie: 0.98 68.693
1 23; Linie: 0.418 22.998
1 77; Linie: 0.804 77.149
1 99; Linie: 0.651 99.12
1 28; Linie: 0.772 27.401
1 84; Linie: 0.621 83.863
1 98; Linie: 0.76 97.689
1 73; Linie: 0.161 73.269
1 61; Linie: 0.743 61.402
1 87; Linie: 0.726 87.036
1 96; Linie: 0.688 96.01
1 27; Linie: 0.55 26.879
1 14; Linie: 0.981 14.207
1 18; Linie: 0.992 18.06
1 55; Linie: 0.667 55.695
1 15; Linie: 0.942 15.344
1 21; Linie: 0.981 20.496
1 27; Linie: 0.754 26.877
1 95; Linie: 0.733 95.409
1 39; Linie: 0.502 39.407
1 88; Linie: 0.412 88.094
1 59; Linie: 0.979 58.937
1 87; Linie: 0.949 86.901
1 85; Linie: 0.647 85.41
1 87; Linie: 1.01081 86.7447
1 87; Linie: 1.01081 86.7447
1 98; Linie: 0.588 97.675
1 96; Linie: 0.84 95.83
1 41; Linie: 0.975 40.681
1 23; Linie: 0.979 23.438
1 99; Linie: 0.651 99.12
1 94; Linie: 0.605 94.61
1 81; Linie: 1.01558 80.8803
1 4; Linie: 0.903 3.444
1 99; Linie: 0.918 99.504
1 25; Linie: 0.802 25.36
1 81; Linie: 1.01558 80.8803
1 1; Linie: 0.974 0.6
1 32; Linie: 1.009 32.328
1 44; Linie: 0.968 44.242
1 18; Linie: 0.195 17.965
1 59; Linie: 0.165 59.644
1 17; Linie: 0.75 17.429
1 83; Linie: 0.753 82.81
1 25; Linie: 0.375 24.69
1 32; Linie: 1.009 32.328
1 4; Linie: 1.019 4.346
1 59; Linie: 0.895 58.621
1 69; Linie: 0.98 68.693
1 59; Linie: 0.14 58.262
1 32; Linie: 1.009 32.328
1 99; Linie: 0.835 99.086
1 33; Linie: 0.709 33.059
1 41; Linie: 0.341 40.734
1 98; Linie: 0.898 97.612
1 99; Linie: 0.365 98.667
1 4; Linie: 0.532 3.85
1 19; Linie: 0.713 18.795
1 82; Linie: 0.455 82.138
1 19; Linie: 0.974 18.852
1 63; Linie: 0.722 63.008
1 95; Linie: 0.956 95.311
1 64; Linie: 0.76 63.533
1 33; Linie: 1.009 32.328
1 14; Linie: 0.799 13.593
1 9; Linie: 0.971 8.396
1 99; Linie: 0.244 99.378
1 18; Linie: 0.547 17.702
1 83; Linie: 0.351 82.887
1 39; Linie: 0.633 39.175
1 41; Linie: 0.975 40.681
1 27; Linie: 0.779 26.941
1 24; Linie: 0.417 23.359
1 46; Linie: 0.766 46.146
1 40; Linie: 0.651 39.203
1 10; Linie: 0.42 9.626
1 99; Linie: 0.918 99.504
1 99; Linie: 0.835 99.086
1 29; Linie: 1.052 29.018
1 33; Linie: 1.009 32.328
1 8; Linie: 0.779 7.77
1 18; Linie: 0.565 17.367
1 95; Linie: 0.956 95.311
1 64; Linie: 0.981 64.387
1 7; Linie: 0.684 6.961
1 34; Linie: 0.756 33.511
1 29; Linie: 1.05 29.418
1 99; Linie: 0.918 99.504
1 95; Linie: 1.062 95.151
1 32; Linie: 0.739 32.305
1 8; Linie: 0.927 8.018
1 23; Linie: 0.418 22.998
1 64; Linie: 1.034 64.434
1 32; Linie: 0.525 32.007
1 99; Linie: 0.918 99.504
1 24; Linie: 0.819 23.244
1 7; Linie: 0.758 6.771
1 41; Linie: 0.854 40.96
1 18; Linie: 0.195 17.965
1 61; Linie: 0.743 61.402
1 68; Linie: 0.828 67.548
1 49; Linie: 0.846 49.09
1 100; Linie: 1.026 99.572
1 92; Linie: 0.929 92.468
1 55; Linie: 0.667 55.695
1 40; Linie: 0.651 39.203
1 24; Linie: 1.073 23.891
1 82; Linie: 0.446 81.611
1 24; Linie: 0.79 23.603
1 37; Linie: 1.045 37.559
1 4; Linie: 0.836 4.334
1 45; Linie: 1.069 45.121
1 99; Linie: 0.918 99.504
1 1; Linie: 0.974 0.6
1 4; Linie: 1.03 3.809
1 29; Linie: 0.793 28.895
1 24; Linie: 0.781 23.372
1 99; Linie: 0.918 99.504
1 41; Linie: 0.341 40.734
1 19; Linie: 0.713 18.795
1 95; Linie: 0.956 95.311
1 64; Linie: 0.76 63.533
1 75; Linie: 1.046 75.318
1 75; Linie: 1.046 75.318
1 75; Linie: 0.853 75.475
1 19; Linie: 0.868 18.89
1 17; Linie: 0.913 17.145
1 19; Linie: 0.974 18.852
1 18; Linie: 0.903 17.707
1 90; Linie: 1.1 89.671
1 80; Linie: 1.077 80.474
1 7; Linie: 1.03 6.985
1 53; Linie: 0.666 52.446
1 65; Linie: 1.105 64.7
1 69; Linie: 0.98 68.693
1 92; Linie: 0.929 92.468
1 6; Linie: 1.019 5.829
