(61.674, 43.78)
(61.388, 12.535)
(61.25, 28.2047)
(61.235, 83.417)
(61.119, 19.022)
(61.044, 84.24)
(61.036, 41.5)
(60.9641, 25.9262)
(60.6952, 60.4015)
(60.341, 29.0316)
(60.212, 37.059)
(60.1476, 16.6983)
(60.127, 96.475)
(60.1135, 70.6517)
(60.096, 37.175)
(60.0716, 77.5491)
(60.0576, 66.3083)
(59.9579, 56.3798)
(59.9175, 19.5269)
(59.875, 65.472)
(59.8674, 61.2209)
(59.7669, 39.85)
(59.694, 33.198)
(59.6882, 92.5283)
(59.647, 22.6555)
(59.622, 4.445)
(59.5955, 68.685)
(59.5039, 20.805)
(59.3075, 22.3065)
(59.1646, 44.886)
(59.16, 51.452)
(59.01, 33.3327)
(58.9254, 44.6221)
(58.8284, 41.1113)
(58.814, 20.224)
(58.8134, 65.3182)
(58.7519, 46.3025)
(58.5587, 76.7892)
(58.546, 24.079)
(58.531, 70.4475)
(58.3281, 78.9639)
(58.2351, 34.2026)
(58.1977, 72.4803)
(58.1876, 37.1097)
(58.18, 19.571)
(58.1419, 38.685)
(58.1368, 96.9624)
(58.1182, 12.8319)
(58.098, 83.475)
(57.9453, 75.6115)
(57.9027, 90.8045)
(57.8, 55.656)
(57.728, 86.727)
(57.7226, 22.5842)
(57.4779, 63.1982)
(57.4607, 79.9789)
(57.4449, 74.3509)
(57.417, 49.4)
(57.4034, 44.3443)
(57.3785, 87.7451)
(57.349, 60.169)
(57.0537, 84.5226)
(57.0395, 30.7007)
(57.032, 93.456)
(56.916, 82.248)
(56.6828, 81.8694)
(56.5618, 11.0358)
(56.53, 61.429)
(56.505, 49.751)
(56.4229, 27.5866)
(56.3635, 49.9862)
(56.3535, 39.5646)
(56.3102, 19.3473)
(56.2358, 24.0688)
(56.072, 39.206)
(56.058, 40.289)
(55.9619, 28.9401)
(55.8665, 88.8754)
(55.635, 31.471)
(55.44, 51.8927)
(55.3526, 90.7513)
(55.197, 37.614)
(55.1788, 87.226)
(55.103, 11.578)
(55.0157, 75.0838)
(54.985, 14.256)
