1 30; Linie: 0.568 29.89
1 10; Linie: 0.514 8.975
1 60; Linie: 0.55 59.888
1 40; Linie: 0.601 40.187
1 79; Linie: 0.592 79.5
1 30; Linie: 0.568 29.89
1 44; Linie: 0.528 44.241
1 20; Linie: 0.437 19.826
1 4; Linie: 0.569 4.311
1 5; Linie: 0.573 4.943
1 58; Linie: 0.216 58.598
1 51; Linie: 0.609 51.1
1 10; Linie: 0.514 8.975
1 38; Linie: 0.59 37.835
1 45; Linie: 0.558 45.343
1 84; Linie: 0.211 84.49
1 12; Linie: 0.514 11.414
1 88; Linie: 0.174 88.616
1 32; Linie: 0.577 32.176
1 23; Linie: 0.626 22.672
1 97; Linie: 0.599 97.23
1 51; Linie: 0.609 51.1
1 79; Linie: 0.551 79.436
1 55; Linie: 0.516 54.947
1 2; Linie: 0.614 1.969
1 41; Linie: 0.621 41.323
1 23; Linie: 0.626 22.672
1 33; Linie: 0.589 32.498
1 51; Linie: 0.609 51.1
1 85; Linie: 0.577 84.976
1 51; Linie: 0.609 51.1
1 66; Linie: 0.52 65.95
1 38; Linie: 0.388 37.541
1 79; Linie: 0.592 79.5
1 62; Linie: 0.139 61.984
1 2; Linie: 0.614 1.969
1 3; Linie: 0.447 2.248
1 85; Linie: 0.577 84.976
1 84; Linie: 0.211 84.49
1 77; Linie: 0.638 77.4
1 24; Linie: 0.416 24.516
1 22; Linie: 0.626 22.672
1 81; Linie: 0.104 81.311
1 78; Linie: 0.571 78.867
1 4; Linie: 0.612 3.541
1 4; Linie: 0.167 3.313
1 51; Linie: 0.491 50.38
1 59; Linie: 0.55 59.888
1 4; Linie: 0.612 3.541
1 97; Linie: 0.482 97.617
1 84; Linie: 0.542 83.903
1 76; Linie: 0.636 75.979
1 93; Linie: 0.551 92.882
1 34; Linie: 0.292 33.993
1 3; Linie: 0.614 1.969
1 12; Linie: 0.051 11.756
1 3; Linie: 0.614 1.969
1 72; Linie: 0.505 72.789
1 72; Linie: 0.181 72.522
1 3; Linie: 0.614 1.969
1 4; Linie: 0.167 3.313
1 63; Linie: 0.62 62.997
1 50; Linie: 0.524 49.53
1 3; Linie: 0.614 1.969
1 1; Linie: 0.64 0.99
1 40; Linie: 0.601 40.187
1 35; Linie: 0.47 34.525
1 59; Linie: 0.631 59.303
1 2; Linie: 0.592 1.543
1 45; Linie: 0.638 45.349
1 89; Linie: 0.555 88.552
1 87; Linie: 0.673 87.375
1 85; Linie: 0.577 84.976
1 87; Linie: 0.673 87.375
1 99; Linie: 0.651 99.12
1 36; Linie: 0.669 36.115
1 87; Linie: 0.673 87.375
1 77; Linie: 0.638 77.4
1 87; Linie: 0.673 87.375
1 0; Linie: 0.655 0.085
1 34; Linie: 0.655 34.162
1 77; Linie: 0.638 77.4
1 33; Linie: 0.559 32.551
1 44; Linie: 0.528 44.241
1 41; Linie: 0.578 41.239
1 77; Linie: 0.638 77.4
1 10; Linie: 0.661 9.723
1 39; Linie: 0.651 39.203
1 97; Linie: 0.511 97.034
1 38; Linie: 0.59 37.835
1 64; Linie: 0.63 64.01
1 40; Linie: 0.601 40.187
1 83; Linie: 0.674 83.628
1 83; Linie: 0.674 83.628
1 26; Linie: 0.348 25.949
1 83; Linie: 0.674 83.628
1 89; Linie: 0.678 88.97
1 89; Linie: 0.678 88.97
1 93; Linie: 0.301 92.88
1 93; Linie: 0.091 93.335
1 65; Linie: 0.572 64.835
1 63; Linie: 0.62 62.997
1 73; Linie: 0.176 73.723
1 0; Linie: 0.655 0.085
1 83; Linie: 0.529 83.457
1 3; Linie: 0.247 2.627
1 23; Linie: 0.58 22.629
1 32; Linie: 0.428 31.692
1 10; Linie: 0.661 9.723
1 10; Linie: 0.659 9.62
1 88; Linie: 0.678 88.97
1 14; Linie: 0.567 13.851
1 88; Linie: 0.678 88.97
1 88; Linie: 0.678 88.97
1 44; Linie: 0.563 43.64
1 12; Linie: 0.514 11.414
1 68; Linie: 0.662 68.54
1 22; Linie: 0.629 21.724
1 63; Linie: 0.708 63.048
1 73; Linie: 0.669 72.769
1 27; Linie: 0.702 26.701
1 41; Linie: 0.341 40.734
1 36; Linie: 0.422 35.886
1 28; Linie: 0.712 27.652
1 95; Linie: 0.629 95.017
1 73; Linie: 0.161 73.269
1 90; Linie: 0.618 89.902
1 58; Linie: 0.216 58.598
1 49; Linie: 0.567 48.802
1 73; Linie: 0.636 73.446
1 47; Linie: 0.648 46.799
1 55; Linie: 0.725 55.305
1 55; Linie: 0.725 55.305
1 44; Linie: 0.563 43.64
1 40; Linie: 0.726 40.224
1 45; Linie: 0.449 45.191
1 39; Linie: 0.633 39.175
1 63; Linie: 0.722 63.008
1 92; Linie: 0.698 92.295
1 56; Linie: 0.725 55.305
1 97; Linie: 0.722 96.779
1 4; Linie: 0.612 3.541
1 96; Linie: 0.688 96.01
1 83; Linie: 0.536 83.431
1 73; Linie: 0.636 73.446
1 4; Linie: 0.652 3.265
1 49; Linie: 0.459 49.144
1 33; Linie: 0.706 33.266
1 11; Linie: 0.586 10.254
1 33; Linie: 0.083 32.445
1 65; Linie: 0.717 64.892
1 59; Linie: 0.659 58.717
1 59; Linie: 0.508 58.858
1 68; Linie: 0.662 68.54
1 72; Linie: 0.669 72.769
1 64; Linie: 0.657 63.886
1 49; Linie: 0.459 49.144
1 49; Linie: 0.567 48.802
1 60; Linie: 0.655 60.128
1 40; Linie: 0.714 39.864
1 24; Linie: 0.728 24.383
1 63; Linie: 0.722 63.008
1 66; Linie: 0.408 66.164
1 10; Linie: 0.752 9.651
1 59; Linie: 0.523 59.427
1 84; Linie: 0.745 84.02
1 88; Linie: 0.588 88.505
1 33; Linie: 0.559 32.551
1 92; Linie: 0.698 92.295
1 27; Linie: 0.702 26.701
1 41; Linie: 0.621 41.323
1 77; Linie: 0.744 77.17
1 34; Linie: 0.335 34.246
1 5; Linie: 0.417 4.298
1 10; Linie: 0.562 9.598
1 27; Linie: 0.702 26.701
1 97; Linie: 0.691 96.594
1 51; Linie: 0.621 50.793
1 88; Linie: 0.683 88.409
1 55; Linie: 0.575 54.992
1 92; Linie: 0.695 91.984
1 10; Linie: 0.332 10.185
1 97; Linie: 0.769 97.437
1 4; Linie: 0.772 4.216
1 97; Linie: 0.769 97.437
1 89; Linie: 0.555 88.552
1 34; Linie: 0.335 34.246
1 34; Linie: 0.567 33.89
1 24; Linie: 0.723 24.336
1 99; Linie: 0.651 99.12
1 5; Linie: 0.367 4.048
1 34; Linie: 0.567 33.89
1 38; Linie: 0.742 37.977
1 41; Linie: 0.341 40.734
1 84; Linie: 0.456 84.873
1 34; Linie: 0.756 33.511
1 18; Linie: 0.434 17.664
1 5; Linie: 0.417 4.298
1 55; Linie: 0.651 55.503
1 11; Linie: 0.586 10.254
1 10; Linie: 0.659 9.62
1 10; Linie: 0.417 9.33
1 38; Linie: 0.327 37.432
1 59; Linie: 0.14 58.262
1 59; Linie: 0.254 58.373
1 27; Linie: 0.779 26.941
1 97; Linie: 0.42 96.736
1 98; Linie: 0.693 98.344
1 7; Linie: 0.79 6.969
1 4; Linie: 0.746 4.226
1 25; Linie: 0.728 24.383
1 68; Linie: 0.662 68.54
1 21; Linie: 0.574 20.849
1 92; Linie: 0.729 92.38
1 58; Linie: 0.797 58.319
1 97; Linie: 0.769 97.437
1 48; Linie: 0.787 47.499
1 19; Linie: 0.567 19.117
1 99; Linie: 0.465 99.122
1 99; Linie: 0.244 99.378
1 39; Linie: 0.651 39.203
1 90; Linie: 0.792 90.427
1 12; Linie: 0.692 12.251
1 61; Linie: 0.743 61.402
1 90; Linie: 0.792 90.427
1 40; Linie: 0.726 40.224
1 32; Linie: 0.8 32.488
1 83; Linie: 0.377 83.615
1 33; Linie: 0.577 32.176
1 96; Linie: 0.519 96.63
1 38; Linie: 0.425 38.131
1 84; Linie: 0.819 83.539
1 90; Linie: 0.792 90.427
1 92; Linie: 0.563 91.862
1 90; Linie: 0.792 90.427
1 8; Linie: 0.816 7.664
1 18; Linie: 0.434 17.664
1 83; Linie: 0.819 83.539
1 40; Linie: 0.831 40.434
1 47; Linie: 0.648 46.799
1 11; Linie: 0.586 10.254
1 88; Linie: 0.825 88.442
1 40; Linie: 0.83 40.233
1 97; Linie: 0.722 96.779
1 87; Linie: 0.722 87.529
1 88; Linie: 0.825 88.442
1 6; Linie: 0.692 6.316
1 28; Linie: 0.72 27.943
1 68; Linie: 0.516 68.227
1 77; Linie: 0.646 76.783
1 67; Linie: 0.392 67.83
1 83; Linie: 0.819 83.539
1 27; Linie: 0.818 27.066
1 1; Linie: 0.64 0.99
1 25; Linie: 0.723 24.336
1 25; Linie: 0.287 24.25
1 27; Linie: 0.142 26.834
1 41; Linie: 0.785 41.011
1 24; Linie: 0.781 23.372
1 83; Linie: 0.819 83.539
1 15; Linie: 0.567 13.851
1 90; Linie: 0.848 90.381
1 90; Linie: 0.848 90.381
1 23; Linie: 0.837 23.12
1 14; Linie: 0.754 13.752
1 88; Linie: 0.825 88.442
1 8; Linie: 0.816 7.664
1 23; Linie: 0.837 23.12
1 27; Linie: 0.702 26.701
1 90; Linie: 0.848 90.381
1 34; Linie: 0.706 33.266
1 90; Linie: 0.848 90.381
1 42; Linie: 0.578 41.239
1 24; Linie: 0.79 23.603
1 18; Linie: 0.523 17.407
1 39; Linie: 0.651 39.203
1 16; Linie: 0.86208 16.2632
1 10; Linie: 0.752 9.651
1 44; Linie: 0.868 43.699
1 12; Linie: 0.051 11.756
1 8; Linie: 0.816 7.664
1 68; Linie: 0.516 68.227
1 100; Linie: 0.526 99.931
1 58; Linie: 0.851 57.763
1 63; Linie: 0.438 63.159
1 90; Linie: 0.848 90.381
1 10; Linie: 0.859 9.815
1 90; Linie: 0.848 90.381
1 96; Linie: 0.87 95.99
1 44; Linie: 0.868 43.699
1 32; Linie: 0.848 32.452
1 65; Linie: 0.846 64.758
1 5; Linie: 0.417 4.298
1 99; Linie: 0.849 99.062
1 61; Linie: 0.762 61.055
1 12; Linie: 0.692 12.251
1 99; Linie: 0.835 99.086
1 27; Linie: 0.818 27.066
1 23; Linie: 0.819 23.244
1 86; Linie: 0.649 85.707
1 28; Linie: 0.72 27.943
1 99; Linie: 0.849 99.062
1 1; Linie: 0.743 0.842
1 96; Linie: 0.511 97.034
1 92; Linie: 0.729 92.38
1 38; Linie: 0.773 37.52
1 44; Linie: 0.868 43.699
1 84; Linie: 0.745 84.02
1 5; Linie: 0.869 5.057
1 32; Linie: 0.848 32.452
1 19; Linie: 0.879 19.209
1 96; Linie: 0.688 96.01
1 27; Linie: 0.841 26.327
1 61; Linie: 0.72 61.184
1 32; Linie: 0.809 32.437
1 40; Linie: 0.831 40.434
1 99; Linie: 0.845 99.104
1 33; Linie: 0.589 32.498
1 65; Linie: 0.38 65.353
1 77; Linie: 0.734 77.301
1 94; Linie: 0.892 94.512
1 47; Linie: 0.486 46.674
1 45; Linie: 0.571 45.601
1 30; Linie: 0.772 30.318
1 24; Linie: 0.79 23.603
1 61; Linie: 0.762 61.055
1 73; Linie: 0.367 72.953
1 98; Linie: 0.878 97.823
1 45; Linie: 0.845 45.127
1 26; Linie: 0.714 25.42
1 42; Linie: 0.731 41.899
1 39; Linie: 0.912 39.174
1 64; Linie: 0.85 64.493
1 67; Linie: 0.84 66.801
1 96; Linie: 0.688 96.01
1 96; Linie: 0.87 95.99
1 88; Linie: 0.825 88.442
1 67; Linie: 0.392 67.83
1 44; Linie: 0.225 43.845
1 50; Linie: 0.524 49.53
1 41; Linie: 0.854 40.96
1 97; Linie: 0.862 96.905
1 88; Linie: 0.825 88.442
1 86; Linie: 0.521 86.172
1 56; Linie: 0.842 56.44
1 9; Linie: 0.775 8.898
1 28; Linie: 0.843 28.182
1 1; Linie: 0.743 0.842
1 1; Linie: 0.192 0.961
1 59; Linie: 0.659 58.717
1 27; Linie: 0.927 26.686
1 97; Linie: 0.862 96.905
1 27; Linie: 0.927 26.686
1 1; Linie: 0.64 0.99
1 87; Linie: 0.726 87.036
1 59; Linie: 0.895 58.621
1 24; Linie: 0.781 23.372
1 81; Linie: 0.878 80.987
1 15; Linie: 0.567 13.851
1 94; Linie: 0.927 93.987
1 15; Linie: 0.567 13.851
1 33; Linie: 0.083 32.445
1 27; Linie: 0.927 26.686
1 97; Linie: 0.768 96.925
1 41; Linie: 0.854 40.96
1 96; Linie: 0.87 95.99
1 27; Linie: 0.298 26.183
1 27; Linie: 0.142 26.834
1 27; Linie: 0.927 26.686
1 15; Linie: 0.918 14.707
1 48; Linie: 0.936 47.869
1 27; Linie: 0.927 26.686
1 61; Linie: 0.857 61.315
1 99; Linie: 0.465 99.122
1 97; Linie: 0.862 96.905
1 27; Linie: 0.818 27.066
1 63; Linie: 0.833 63.216
1 29; Linie: 0.82 29.078
1 7; Linie: 0.79 6.969
1 27; Linie: 0.927 26.686
1 4; Linie: 0.927 4.06
1 19; Linie: 0.868 18.89
1 90; Linie: 0.63 90.287
1 27; Linie: 0.142 26.834
1 27; Linie: 0.841 26.327
1 60; Linie: 0.933 59.852
1 27; Linie: 0.927 26.686
1 61; Linie: 0.623 60.9
1 10; Linie: 0.42 9.626
1 84; Linie: 0.529 83.457
1 60; Linie: 0.933 59.852
1 27; Linie: 0.298 26.183
1 88; Linie: 0.814 88.175
1 4; Linie: 0.746 4.226
1 4; Linie: 0.836 4.334
1 13; Linie: 0.574 11.805
1 99; Linie: 0.918 99.504
1 27; Linie: 0.927 26.686
1 54; Linie: 0.832 54.192
1 93; Linie: 0.445 93.121
1 32; Linie: 0.559 32.551
1 23; Linie: 0.835 22.893
1 27; Linie: 0.927 26.686
1 10; Linie: 0.562 9.598
1 3; Linie: 0.968 2.977
1 13; Linie: 0.574 11.805
1 31; Linie: 0.961 31.028
1 9; Linie: 0.775 8.898
1 55; Linie: 0.871 54.613
1 80; Linie: 0.059 79.405
1 80; Linie: 0.139 79.766
1 84; Linie: 0.621 83.863
1 84; Linie: 0.536 83.431
1 90; Linie: 0.928 89.902
